"Company Name#","Primary Contact","Parent Account",Email,"Main Phone","Other Phone",Fax,Website,"Address Type","Address1 Name","Address1 Street1","Address1 Street2","Address1 Street3","Address1 City","Address1 State","Address1 Zipcode","Address1 Country","Address Phone","Address1 Shipping Method","Address1 Freight Terms",Description,Industry,"Annual Revenue","No Of Employees",Siccode,Ownership,Tickersymbol,Territory,"Relationship Type",Category,Currency,"Credit Limit",CreditHold,"Payment Terms","Price List",Owner,PreferredMethodofContact,DonotAllowEmails,DonotAllowPhoneCalls,DonotAllowMails,DonotAllowBulkEmails,DonotAllowFaxes,FollowEmailActivity,OriginatingLead,SendMarketingMaterials,PreferRedday,PreferRedTime,PreferRedService,PreferRedFacilityEquipment,PreferRedUser,SageCustomerNumber,Baynets,ConstructionSafety,House,Incordplay,IncordPlaySpecialty,MaterialHandling,Specialty,Sports,Theatre,Distributor,Enduser,Termscode,NameofBroker,ShippingContact,CarrierShipvia,CarrierAccountNumber,CarrierContact,"CRM Guid","CRM Parent Account Id","CRM Parent Account Name","Pricing Tier","Active Flag",AccountNumber,Division,Salesperson
"African Safari",,,,,,"(519) 623-9542",,,,RR1,,,Cambridge,ON,"N1R 5S2",CAN,,,00,"Robin Ritz",,,,,,,,2,,,,,00,,"Robin Ritz",,,,,,,,,,,,,,,50-AFRI01,,,,,,,,,,,,00,,,,,,3559367f-2429-e711-815d-e0071b6a50c1,,,,1,16239,,"Robin Ritz"
"Aldershot Landscape Contractor",,,,,,,,,,"166 Flatt Rd",,,Burlington,ON,"L7R 3X5",CAN,,"PPA INTL",00,"Nikki Spirito",,,,,,,,2,,,,,00,,"Nikki Spirito",,,,,,,,,,,,,,,70-ALDE01,,,,,,,,,,,,00,,,,,,df62367f-2429-e711-815d-e0071b6a50c1,,,,1,11935,,"Nikki Spirito"
"Alexandre Gorski",,,,,,,,,,"2268 Highway # 6",,,Puslinch,ON,"NOB 2J0",CAN,,"PPA INTL",00,"Robin Ritz",,,,,,,,2,,,,,00,,"Robin Ritz",,,,,,,,,,,,,,,50-ALEX03,,,,,,,,,,,,00,,,,,,4d59367f-2429-e711-815d-e0071b6a50c1,,,,1,17458,,"Robin Ritz"
"Alliance Wire Rope",,,,,,"(905) 564-2994",,,,"408 Gibraltar Dr",,,Mississauga,ON,"L5T 2P5",CAN,,"PPA INTL",00,"Brian Hillery",,,,,,,,2,,,,,00,,"Brian Hillery",,,,,,,,,,,,,,,10-ALLI10,,,,,,,,,,,,00,,,,,,9d68367f-2429-e711-815d-e0071b6a50c1,,,,1,18076,,"Brian Hillery"
"AMF Canada",,,,,,"(819) 821-2913",,,,"1025 Cabana",,,Sherbrooke,QC,"J1K 2M4",CAN,,COLLECT,02,"Jerry O'Neill",,,,,,,,2,,,,,02,,"Jerry O'Neill",,,,,,,,,,,,,,,30-AMFC01,,,,,,,,,,,,02,,,,,,eb46367f-2429-e711-815d-e0071b6a50c1,,,,1,17071,,"Jerry O'Neill"
"Amusement Concepts",,,,,,,,,,"148 Mozart St",,,Dollard,QB,"H9G 2Z8",CAN,,"PPA INTL",00,"Robin Ritz",,,,,,,,2,,,,,00,,"Robin Ritz",,,,,,,,,,,,,,,50-AMUS01,,,,,,,,,,,,00,,,,,,7359367f-2429-e711-815d-e0071b6a50c1,,,,1,17463,,"Robin Ritz"
"Amusements Recreofun Inc",,,,,,,,,,"1289 Avenue Jules-Verne",,,L'Ancienne-Lorette,QC,"G2E 6L6",CAN,,"PPD GRD",00,"Robin Ritz",,,,,,,,2,,,,,00,,"Robin Ritz",,,,,,,,,,,,,,,50-AMUS03,,,,,,,,,,,,00,,,,,,7559367f-2429-e711-815d-e0071b6a50c1,,,,1,17464,,"Robin Ritz"
"Andrew Godwin",,,,,,,,,,"2160 Dewdney Rd",,,Kelowna,BC,"V1V 2C3",CAN,,"PPD GRD",00,"Robin Ritz",,,,,,,,2,,,,,00,,"Robin Ritz",,,,,,,,,,,,,,,50-ANDR08,,,,,,,,,,,,00,,,,,,48faa84c-2429-e711-815d-e0071b6a50c1,,,,1,15120,,"Robin Ritz"
"Anthem Properties",,,,,,,,,,"208 Riverfront Ave",,,Calgary,AB,T2P5K4,CAN,,,00,"Jen Gowac",,,,,,,,2,,,,,00,,"Jen Gowac",,,,,,,,,,,,,,,70-ANTH02,,,,,,,,,,,,00,,,,,,3546367f-2429-e711-815d-e0071b6a50c1,,,,1,13176,,"Jen Gowac"
"APD Printing",,,,,,,,,,"820 Nipissing Road Unit # 4",,,Milton,ON,"L9T 4Z9",CAN,,"PPD GRD",00,"Charles Crawford",,,,,,,,2,,,,,00,,"Charles Crawford",,,,,,,,,,,,,,,60-APDP01,,,,,,,,,,,,00,,,,,,eba4b046-2429-e711-815d-e0071b6a50c1,,,,1,11817,,"Charles Crawford"
Aquaventronics,,,,,,,,,,"318 Luxiana Drive","Jim Legary",,"Grande Pointe",MB,"R5A 1E1",CAN,,COLLECT,00,"Robin Ritz",,,,,,,,2,,,,,00,,"Robin Ritz",,,,,,,,,,,,,,,50-AQUA18,,,,,,,,,,,,00,,,,,,4ef0a84c-2429-e711-815d-e0071b6a50c1,,,,1,11565,,"Robin Ritz"
"Arashi Do Martial Arts",,,,,,,,,,"13837 130 Ave.",,,Edmonton,AB,"T5L 5B9",CAN,,"PPD GRD",00,"Charles Crawford",,,,,,,,2,,,,,00,,"Charles Crawford",,,,,,,,,,,,,,,60-ARAS01,,,,,,,,,,,,00,,,,,,a763367f-2429-e711-815d-e0071b6a50c1,,,,1,20143,,"Charles Crawford"
"Argue Construction LTD",,,,,,,,,,"105-A Willowlea Road",,,Carp,ON,"K0A 1L0",CAN,,"UPS PPD GRD",00,"House BayNets",,,,,,,,2,,,,,00,,"House BayNets",,,,,,,,,,,,,,,40-ARGU01,,,,,,,,,,,,00,,,,,,4152367f-2429-e711-815d-e0071b6a50c1,,,,1,19666,,"House BayNets"
"Art Attack",,,,,,"(780) 439-8908",,,,"9350 47th St",,,Edmonton,AB,"T6B 2P6",CAN,,"PPA INTL",00,"Robin Ritz",,,,,,,,2,,,,,00,,"Robin Ritz",,,,,,,,,,,,,,,50-PHAN01,,,,,,,,,,,,00,,,,,,3148367f-2429-e711-815d-e0071b6a50c1,,,,1,16411,,"Robin Ritz"
"Astro Amusements",,,,,,,,,,"16130 Weston Rd.",,,Kettleby,ON,"L7B 0E7",CAN,,"PPD GRD",00,"Charles Crawford",,,,,,,,2,,,,,00,,"Charles Crawford",,,,,,,,,,,,,,,60-ASTR01,,,,,,,,,,,,00,,,,,,b563367f-2429-e711-815d-e0071b6a50c1,,,,1,17752,,"Charles Crawford"
"ATS Automation",,,,,,"(519) 650-6697",,,,"730 Fountain St N, Bldg 3",,,Cambridge,ON,"N3H 4R7",CAN,,"PPD GRD",00,"Brian Stevenson",,,,,,,,2,,,,,00,,"Brian Stevenson",,,,,,,,,,,,,,,30-ATSA01,,,,,,,,,,,,00,,,,,,74eba84c-2429-e711-815d-e0071b6a50c1,,,,1,11170,,"Brian Stevenson"
"Auburn Developments",,,,,,"(519) 434-5084",,,,"23311 Nissouri Rd. RR1",,,Thorndale,ON,"N0M 2P0",CAN,,"PPD GRD",00,"Charles Crawford",,,,,,,,2,,,,,00,,"Charles Crawford",,,,,,,,,,,,,,,60-AUBU01,,,,,,,,,,,,00,,,,,,b963367f-2429-e711-815d-e0071b6a50c1,,,,1,16501,,"Charles Crawford"
"Automation Tooling Systems Inc",,,,,,"(519) 650-6514",,,,"250 Royal Oak Rd",,,Cambridge,ON,"N3H 4R6",CAN,,"PPD GRD",00,"Brian Stevenson",,,,,,,,2,,,,,00,,"Brian Stevenson",,,,,,,,,,,,,,,30-AUTO06,,,,,,,,,,,,00,,,,,,9afaa84c-2429-e711-815d-e0071b6a50c1,,,,1,14743,,"Brian Stevenson"
AUTOMHA,,,,,,,,,,"1300 S Service Rd",,,Oakville,ON,"L6L 5T7",CAN,,"CUST PU",02,"Jerry O'Neill",,,,,,,,2,,,,,02,,"Jerry O'Neill",,,,,,,,,,,,,,,30-PALL01,,,,,,,,,,,,02,,,,,,1da9b046-2429-e711-815d-e0071b6a50c1,,,,1,11271,,"Jerry O'Neill"
"Aux Deux Moulins Development",,,,,,,,,,"7385 Ave Papineau",,,Montreal,QC,"H2E 2G7",CAN,,"PPA INTL",02,"Robin Ritz",,,,,,,,2,,,,,02,,"Robin Ritz",,,,,,,,,,,,,,,50-AUXD01,,,,,,,,,,,,02,,,,,,275e367f-2429-e711-815d-e0071b6a50c1,,,,1,12772,,"Robin Ritz"
"Auxili Design",,,,,,,,,,"67 Strathclair Rise SW",,,Calgary,AB,"T3H 1G3",CAN,,"PPA INTL",00,"Robin Ritz",,,,,,,,2,,,,,00,,"Robin Ritz",,,,,,,,,,,,,,,50-AUXI02,,,,,,,,,,,,00,,,,,,b959367f-2429-e711-815d-e0071b6a50c1,,,,1,16250,,"Robin Ritz"
Badinotti,,,,,,"(705) 722-5309",,,,"33 Alliance Blvd., Unit 8",,,Barrie,ON,"L4M 5K2",CAN,,,02,House,,,,,,,,2,,,,,02,,House,,,,,,,,,,,,,,,70-BADI01,,,,,,,,,,,,02,,,,,,b96a367f-2429-e711-815d-e0071b6a50c1,,,,1,19112,,House
"Badinotti North America Inc.",,,,,,"(705) 722-5309",,,,"14 Pooles Road",,,,ON,L0L1X1,Can,,100000000,,,,,,,,,,3,,,,,60,,,,,,,,,,,,,,,,,BADI02,,,,,,,,,,,,,,,,,,6bb3e0aa-2f29-e711-8112-e0071b6aa201,,,,1,10937,,
"Barrette Outdoor Living",,,,,,"(450) 357-7050",,,,"583 Grand-Bernier Nord",,,St-Jean-Sur-Richel,QC,"J3B 8K1",CAN,,"PPD GRD",00,"Brian Hillery",,,,,,,,2,,,,,00,,"Brian Hillery",,,,,,,,,,,,,,,10-BARR01,,,,,,,,,,,,00,,,,,,4b4c367f-2429-e711-815d-e0071b6a50c1,,,,1,14525,,"Brian Hillery"
"Bastian Canada",,,,,,"(317) 575-8596",,,,"2560 Matheson Blvd #225",,,Mississauga,ON,"L4W 4Y9",CAN,,"PPD GRD",02,"Brian Stevenson",,,,,,,,2,,,,,02,,"Brian Stevenson",,,,,,,,,,,,,,,30-BAST04,,,,,,,,,,,,02,,,,,,f347367f-2429-e711-815d-e0071b6a50c1,,,,1,19537,,"Brian Stevenson"
"BDI Canada Inc.",,,,,,"(905) 238-1395",,,,"119 Spadina Ave.","Station B, Box 37",,Toronto,ON,"M5T 2T2",CAN,,"PPD GRD",00,"Brian Hillery",,,,,,,,2,,,,,00,,"Brian Hillery",,,,,,,,,,,,,,,10-BDIC01,,,,,,,,,,,,00,,,,,,4ef3a84c-2429-e711-815d-e0071b6a50c1,,,,1,18092,,"Brian Hillery"
"Beaver Materials Handling LTD",,,,,,"(416) 645-1904",,,,"5050 Dufferin St, Unit 107-108",,,"North York",ON,"M3H 5T5",CAN,,"PPA INTL",02,"Brian Stevenson",,,,,,,,2,,,,,02,,"Brian Stevenson",,,,,,,,,,,,,,,30-BEAV01,,,,,,,,,,,,02,,,,,,b957367f-2429-e711-815d-e0071b6a50c1,,,,1,15902,,"Brian Stevenson"
"B.E. Gilmore Contracting Group",,,,,,"(905) 465-3882",,,,"2469 Lakeshore Rd West",,,Oakville,ON,"L6L 1H9",CAN,,"PPA INTL",00,"Charles Crawford",,,,,,,,2,,,,,00,,"Charles Crawford",,,,,,,,,,,,,,,60-BEGI01,,,,,,,,,,,,00,,,,,,cb63367f-2429-e711-815d-e0071b6a50c1,,,,1,16503,,"Charles Crawford"
"Bill Shields",,,,,,,,,,"2653 Elmhurst Street",Ottawa,,,,,CAN,,100000000,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,BILL02,,,,,,,,,,,,,,,,,,5dade0aa-2f29-e711-8112-e0071b6aa201,,,,1,10182,,
"Billy Willis",,,,,,,,,,"37 Des Merles",,,Blainville,QB,"J7C 3N7",CAN,,"PPA INTL",00,"Charles Crawford",,,,,,,,2,,,,,00,,"Charles Crawford",,,,,,,,,,,,,,,60-BILL14,,,,,,,,,,,,00,,,,,,1961367f-2429-e711-815d-e0071b6a50c1,,,,1,11824,,"Charles Crawford"
"Blue Imp Recreational Products",,,,,,"(403) 529-0851",,,,"724-14th Street SW",,,"Medicine Hat",AB,"T1A 4V7",CAN,,"PPA INTL",02,"Jerry Rodman",,,,,,,,2,,,,,02,,"Jerry Rodman",,,,,,,,,,,,,,,50-BLUE05,,,,,,,,,,,,02,,,,,,2b5e367f-2429-e711-815d-e0071b6a50c1,,,,1,16257,,"Jerry Rodman"
BosScapes,,,,,,"(403) 345-5677",,,,"1 KM West Of Coaldale","Hwy 3",,Coaldale,AB,"T1M 1M6",CAN,,"PPA INTL",00,"Robin Ritz",,,,,,,,2,,,,,00,,"Robin Ritz",,,,,,,,,,,,,,,50-BOSS01,,,,,,,,,,,,00,,,,,,0d5a367f-2429-e711-815d-e0071b6a50c1,,,,1,17484,,"Robin Ritz"
"Bowringer Engineering Limited",,,,,,709-738-2530,,,,"179 McNamara Drive",,,Paradise,NL,"A1L 0A7",CAN,,"PPA INTL",00,"Nikki Spirito",,,,,,,,2,,,,,00,,"Nikki Spirito",,,,,,,,,,,,,,,70-BOWR01,,,,,,,,,,,,00,,,,,,eb6a367f-2429-e711-815d-e0071b6a50c1,,,,1,16635,,"Nikki Spirito"
"Buckland & Taylor Ltd",,,,,,"(604) 986-1302",,,,"101-788 Harbourside Dr",,,"North Vancouver",BC,"V7P 3R7",CAN,,"PPA INTL",00,"Brian Hillery",,,,,,,,2,,,,,00,,"Brian Hillery",,,,,,,,,,,,,,,10-BUCK04,,,,,,,,,,,,00,,,,,,baf3a84c-2429-e711-815d-e0071b6a50c1,,,,1,16873,,"Brian Hillery"
"CAE Inc.",,,,,,,,,,"8585 Cote-de-Liesse",,,Montreal,QC,"H4T 1G6",CAN,,COLLECT,00,"House BayNets",,,,,,,,2,,,,,00,,"House BayNets",,,,,,,,,,,,,,,40-CAEI01,,,,,,,,,,,,00,,,,,,61a2b046-2429-e711-815d-e0071b6a50c1,,,,1,11359,,"House BayNets"
"Canadian Bearings Ltd",,,,,,,,,,"1600 Drew Rd Dept CW",,,Mississauga,ON,"L5S 1S5",CAN,,"PPA INTL",50,"Joe Menhart",,,,,,,,2,,,,,50,,"Joe Menhart",,,,,,,,,,,,,,,40-CANA02,,,,,,,,,,,,50,,,,,,76eda84c-2429-e711-815d-e0071b6a50c1,,,,1,12552,,"Joe Menhart"
"Canadian Car Care/Minute Lube",,,,,,"(519) 641-2531",,,,"120 Pine Valley Blvd",,,London,ON,"N6K 3W9",CAN,,"PPA INTL",00,"House BayNets",,,,,,,,2,,,,,00,,"House BayNets",,,,,,,,,,,,,,,40-CANA01,,,,,,,,,,,,00,,,,,,a752367f-2429-e711-815d-e0071b6a50c1,,,,1,18516,,"House BayNets"
"Canadian IPG Corporation",,,,,,"(519) 637-9848",,,,"130 Woodworth Ave.",,,"St. Thomas",ON,"N5P 3K1",CAN,,COLLECT,00,"Brian Hillery",,,,,,,,2,,,,,00,,"Brian Hillery",,,,,,,,,,,,,,,10-CANA04,,,,,,,,,,,,00,,,,,,66faa84c-2429-e711-815d-e0071b6a50c1,,,,1,12160,,"Brian Hillery"
"Canadian Mennonite University",,,,,,,,,,"500 Shaftesbury Blvd",,,Winnipeg,MB,"R3P 2N2",CAN,,,00,House,,,,,,,,2,,,,,00,,House,,,,,,,,,,,,,,,70-CANA01,,,,,,,,,,,,00,,,,,,05a9b046-2429-e711-815d-e0071b6a50c1,,,,1,14349,,House
"Canadian National Railway",,,,,,"(514) 399-6787",,,,"Accounts Payable","PO Box 8103",,Montreal,QC,"H3C 3N3",CAN,,"PPA INTL",02,"Brian Hillery",,,,,,,,2,,,,,02,,"Brian Hillery",,,,,,,,,,,,,,,10-CANA02,,,,,,,,,,,,02,,,,,,a553367f-2429-e711-815d-e0071b6a50c1,,,,1,19331,,"Brian Hillery"
"Canadian Natural Resources Ltd",,,,,,,,,,"2500 - 855 - 2nd St. SW",,,Calgary,AB,"T2P 4J8",CAN,,"PPD GRD",00,"Brian Hillery",,,,,,,,2,,,,,00,,"Brian Hillery",,,,,,,,,,,,,,,10-CANA05,,,,,,,,,,,,00,,,,,,c5a0b046-2429-e711-815d-e0071b6a50c1,,,,1,14532,,"Brian Hillery"
"Canadian Playsystems",,,,,,"(614) 274-7695",,,,"120 - 12417 No. 2 Rd",,,Richmond,BC,"V7E 6H6",CAN,,"PPA INTL",02,"Robin Ritz",,,,,,,,2,,,,,02,,"Robin Ritz",,,,,,,,,,,,,,,50-CANA03,,,,,,,,,,,,02,,,,,,7750367f-2429-e711-815d-e0071b6a50c1,,,,1,11586,,"Robin Ritz"
"Canpro Construction",,,,,,,,,,"555 Dupplin Rd","Ryan S. 250-818-5710",,Victoria,BC,"V8Z 1C2",CAN,,"PPD GRD",00,"Joe Menhart",,,,,,,,2,,,,,00,,"Joe Menhart",,,,,,,,,,,,,,,15-CANP01,,,,,,,,,,,,00,,,,,,e4e9a84c-2429-e711-815d-e0071b6a50c1,,,,1,11131,,"Joe Menhart"
"Capilano Suspension Bridge",,,,,,"(604) 985-7479",,,,"3735 Capilano Rd",,,"North Vancouver",BC,"V7R 4J1",CAN,,"PPA INTL",00,"Robin Ritz",,,,,,,,2,,,,,00,,"Robin Ritz",,,,,,,,,,,,,,,50-CAPI02,,,,,,,,,,,,00,,,,,,5b5e367f-2429-e711-815d-e0071b6a50c1,,,,1,11587,,"Robin Ritz"
"Cardinal Coach Lines",,,,,,"(403) 531-3972",,,,"732 41st Ave NE",,,Calgary,AB,"T2E 3P9",CAN,,"PPA INTL",00,"House BayNets",,,,,,,,2,,,,,00,,"House BayNets",,,,,,,,,,,,,,,40-CARD02,,,,,,,,,,,,00,,,,,,a952367f-2429-e711-815d-e0071b6a50c1,,,,1,16077,,"House BayNets"
"Cascades Conversion Inc.",,,,,,"(819) 363-5455",,,,"457, boulevard Marie-Victorin",,,"Kingsey Falls",QC,"J0A 1B0",CAN,,"3RD PTY",00,"Brian Stevenson",,,,,,,,2,,,,,00,,"Brian Stevenson",,,,,,,,,,,,,,,30-CASC01,,,,,,,,,,,,00,,,,,,d557367f-2429-e711-815d-e0071b6a50c1,,,,1,11185,,"Brian Stevenson"
"Cascadia Sport Systems",,,,,,,,,,"3012 C Murray Street",,,,BC,"V3H 1X2",CAN,,100000000,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,ARCASC,,,,,,,,,,,,,,,,,,85b2e0aa-2f29-e711-8112-e0071b6aa201,,,,1,10822,,
"Cascadia Sport Systems",,,,,,"(604) 469-7278",,,,"3012 C Murray St",,,"Port Moody",BC,"V3H 1X2",CAN,,"PPA INTL",02,"Charles Crawford",,,,,,,,2,,,,,02,,"Charles Crawford",,,,,,,,,,,,,,,60-CASE02,,,,,,,,,,,,02,,,,,,2564367f-2429-e711-815d-e0071b6a50c1,,,,1,20153,,"Charles Crawford"
"Catalyst Paper",,,,,,"(604) 483-2950",,,,"Powell River Division","6270 Yew Street",,"Powell River",BC,"V8A 4K1",CAN,,"UPS PPA INTL",00,"Joe Menhart",,,,,,,,2,,,,,00,,"Joe Menhart",,,,,,,,,,,,,,,40-CATA01,,,,,,,,,,,,00,,,,,,63a2b046-2429-e711-815d-e0071b6a50c1,,,,1,13753,,"Joe Menhart"
"Cedar Park Resort",,,,,,,,,,"6296 Cedar Park Rd.",,,Bowmanville,ON,"L1C 3K2",CAN,,"PPA INTL",00,"Robin Ritz",,,,,,,,2,,,,,00,,"Robin Ritz",,,,,,,,,,,,,,,50-CEDA06,,,,,,,,,,,,00,,,,,,7f5a367f-2429-e711-815d-e0071b6a50c1,,,,1,18737,,"Robin Ritz"
"Charmed Playhouses",,,,,,,,,,"RR8 Site 34 Comp 8",,,Lethbridge,AB,"T1J 4P4",CAN,,,00,"Jen Gowac",,,,,,,,2,,,,,00,,"Jen Gowac",,,,,,,,,,,,,,,50-CHAR01,,,,,,,,,,,,00,,,,,,cb48367f-2429-e711-815d-e0071b6a50c1,,,,1,10024,,"Jen Gowac"
"CH Four Biogas Inc",,,,,,,,,,"107-1390 Prince of Wales Drive",,,,00,"K2C 3N6",CAN,,100000000,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,CHFO02,,,,,,,,,,,,,,,,,,45b2e0aa-2f29-e711-8112-e0071b6aa201,,,,1,10790,,
"CH Four Biogas Inc.",,,,,,"(613) 224-1642",,,,"1390 Prince of Wales Dr","Suite 107",,Ottawa,ON,"K2C 3N6",CAN,,"PPA INTL",02,House,,,,,,,,2,,,,,02,,House,,,,,,,,,,,,,,,70-CHFO01,,,,,,,,,,,,02,,,,,,1f6b367f-2429-e711-815d-e0071b6a50c1,,,,1,19127,,House
"CHFour Biogas Inc.",,,,,,,,,,"1390 Prince of Wales Drive",,,,ON,"K2C 3NC",CAN,,100000000,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,ARCHFO,,,,,,,,,,,,,,,,,,a7ade0aa-2f29-e711-8112-e0071b6aa201,,,,1,10217,,
"Chicope Tube Park",,,,,,,,,,"1600 River Road East",,,Kitchener,ON,"N2A 4K8",CAN,,,00,"Robin Ritz",,,,,,,,2,,,,,00,,"Robin Ritz",,,,,,,,,,,,,,,50-CHIC01,,,,,,,,,,,,00,,,,,,9d5a367f-2429-e711-815d-e0071b6a50c1,,,,1,18740,,"Robin Ritz"
"Cintas Corp.",,,,,,,,,,"149 Eddystone Ave",,,Toronto,ON,"M3N 1H5",CAN,,"UPS PPD GRD",00,"House BayNets",,,,,,,,2,,,,,00,,"House BayNets",,,,,,,,,,,,,,,40-CINT01,,,,,,,,,,,,00,,,,,,f4f0a84c-2429-e711-815d-e0071b6a50c1,,,,1,12556,,"House BayNets"
Citco,,,,,,"(514) 335-9702",,,,"2639 Pitfield Blvd",,,Saint-Laurent,QC,"H4S IT2",CAN,,"PPA INTL",00,"Charles Crawford",,,,,,,,2,,,,,00,,"Charles Crawford",,,,,,,,,,,,,,,60-CITC01,,,,,,,,,,,,00,,,,,,034a367f-2429-e711-815d-e0071b6a50c1,,,,1,14242,,"Charles Crawford"
"City of Abbotsford",,,,,,,,,,"31739 King Rd",,,Abbotsford,BC,"V2T 5Z2",CAN,,"PPD GRD",00,"Robin Ritz",,,,,,,,2,,,,,00,,"Robin Ritz",,,,,,,,,,,,,,,50-CITY59,,,,,,,,,,,,00,,,,,,095b367f-2429-e711-815d-e0071b6a50c1,,,,1,19925,,"Robin Ritz"
"City of Lethbridge",,,,,,,,,,"280 - 5 St. N",,,Lethbridge,AB,"T1H 1W3",CAN,,"PPA INTL",00,"Robin Ritz",,,,,,,,2,,,,,00,,"Robin Ritz",,,,,,,,,,,,,,,50-CITY21,,,,,,,,,,,,00,,,,,,775e367f-2429-e711-815d-e0071b6a50c1,,,,1,19921,,"Robin Ritz"
